Hotel ID,Hotel Name,Settlement Name,Rooms Assigned
4,דן ירושלים,כפר סאלד​,280
8,עץ הזית,שדה נחמיה​,304
3,גרנד קורט,שמיר​,300
15,רמדה ירושלים,כפר בלום​,300
32,ישרוטל נבו,נאות מרדכי​,296
23,ישרוטל אוריינט,להבות הבשן​,243
16,שלום ירושלים,גונן​,204
33,ישרוטל נוגה,ריחאניה​,203
6,דן פנורמה,כרם בן זמרה​,200
17,שערי ירושלים,עלמה​,200
21,לאונרדו ירושלים,דלתון​,200
22,לואונרדו פלאזה,גוש חלב​,200
26,יערים,פסוטה​,200
29,ENJOY,הילה​,200
1,ג'רוזלם גולד,אלקוש,106
27,נווה אילן,אבירים,118
4,דן ירושלים,צוריאל​,120
5,דן בוטיק,נווה זיו​,100
7,ליידי שטרן ירושלים,מנות​,100
9,פרימה רויאל,כברי​,100
14,קיסר פרמייר,עבדון​,100
24,ורט,גשר הזיו​,100
28,רמת רחל,כדיתה​,78
31,קראון פלאזה,אור הגנוז​,100
34,פרימה אואסיס ספא,ספסופה​ (כפר חושן),100
10,פרימה המלכים,מירון​,80
12,פרימה פארק,בר יוחאי​,80
19,איביס מרכז העיר,נווה אטיב,80
1,ג'רוזלם גולד,נמרוד,10
13,פרימה ורה,אלרום,70
20,איביס סטייל,מרום גולן,70
1,ג'רוזלם גולד,עין זיוון,66
25,אלדן,אורטל,65
30,עין גדי,אלוני הבשן,60
27,נווה אילן,קשת,52
11,פרימה פאלאס,יונתן,50
18,עין כרם,חיספין,50
28,רמת רחל,רמת מגשימים,22
16,שלום ירושלים,נוב,16
